*(-1,-1,-11):plasma_rifle
(-15, 1, -19):BRICK
(-14, 1, -19):BRICK
(-13, 1, -19):BRICK
(-12, 1, -19):BRICK
(-12, 2, -19):BRICK
(-15, -1, -14):BRICK
(-15, -1, -17):BRICK
(-20, 1, -15):BRICK
(-20, 1, -16):BRICK
(-21, 1, -15):BRICK
(-21, 1, -16):BRICK
(-21, 2, -17):BRICK
(-21, 3, -17):BRICK
(-21, 4, -17):BRICK
(-22, 2, -17):BRICK
(-22, 3, -17):BRICK
(-22, 4, -17):BRICK
(-22, 1, -16):BRICK
(-22, 1, -15):BRICK
(-22, 1, -14):BRICK
(-21, 1, -14):BRICK
(-21, 1, -13):BRICK
(-22, 1, -13):BRICK
(-21, 1, -12):BRICK
(-22, 1, -12):BRICK
(-23, 2, -12):BRICK
(-23, 3, -12):BRICK
(-23, 4, -12):BRICK
(-23, 2, -13):BRICK
(-23, 3, -13):BRICK
(-23, 4, -13):BRICK
(-23, 2, -14):BRICK
(-23, 3, -14):BRICK
(-23, 4, -14):BRICK
(-23, 2, -15):BRICK
(-23, 3, -15):BRICK
(-23, 4, -15):BRICK
(-23, 2, -16):BRICK
(-23, 3, -16):BRICK
(-23, 4, -16):BRICK
(-21, 2, -11):BRICK
(-21, 3, -11):BRICK
(-21, 4, -11):BRICK
(-22, 2, -11):BRICK
(-22, 3, -11):BRICK
(-22, 4, -11):BRICK
(-7, 2, -12):BRICK
(-7, 3, -12):BRICK
(-7, 4, -12):BRICK
(-7, 4, -11):BRICK
(-7, 4, -10):BRICK
(-7, 2, -9):BRICK
(-7, 3, -9):BRICK
(-7, 4, -9):BRICK
(-8, 2, -9):BRICK
(-8, 3, -9):BRICK
(-8, 4, -9):BRICK
(-9, 2, -9):BRICK
(-9, 3, -9):BRICK
(-9, 4, -9):BRICK
(-10, 2, -9):BRICK
(-10, 3, -9):BRICK
(-10, 4, -9):BRICK
(-10, 2, -8):BRICK
(-9, 2, -8):BRICK
(-8, 2, -8):BRICK
(-8, 2, -7):BRICK
(-9, 2, -7):BRICK
(-10, 2, -7):BRICK
(-10, 2, -6):BRICK
(-9, 2, -6):BRICK
(-8, 2, -6):BRICK
(-7, 2, -7):BRICK
(-7, 2, -6):BRICK
(-9, 2, -5):BRICK
(-8, 2, -5):BRICK
(-7, 2, -5):BRICK
(-10, 2, -5):BRICK
(-10, 2, -4):BRICK
(-9, 2, -4):BRICK
(-8, 2, -4):BRICK
(-7, 2, -4):BRICK
(-6, 2, -5):BRICK
(-6, 2, -4):BRICK
(-6, 2, -6):BRICK
(-6, 2, -7):BRICK
(-5, 2, -7):BRICK
(-5, 2, -5):BRICK
(-5, 2, -6):BRICK
(-5, 2, -4):BRICK
(-4, 2, -4):BRICK
(-4, 2, -5):BRICK
(-4, 2, -6):BRICK
(-4, 2, -7):BRICK
(-3, 2, -4):BRICK
(-3, 3, -4):BRICK
(-3, 3, -5):BRICK
(-3, 3, -6):BRICK
(-3, 3, -7):BRICK
(-3, 2, -8):BRICK
(-3, 3, -8):BRICK
(-4, 2, -8):BRICK
(-4, 3, -8):BRICK
(-4, 4, -8):BRICK
(-6, 2, -8):BRICK
(-6, 3, -8):BRICK
(-6, 4, -8):BRICK
(-5, 2, -8):BRICK
(-5, 3, -8):BRICK
(-5, 4, -8):BRICK
(-7, 2, -17):BRICK
(-7, 3, -17):BRICK
(-7, 4, -17):BRICK
(-7, 3, -16):BRICK
(-7, 4, -16):BRICK
(-7, 4, -15):BRICK
(-7, 4, -14):BRICK
(-7, 3, -13):BRICK
(-7, 4, -13):BRICK
(-7, 2, -18):BRICK
(-7, 3, -18):BRICK
(-7, 4, -18):BRICK
(-7, 3, -19):BRICK
(-7, 4, -19):BRICK
(-7, 4, -20):BRICK
(-7, 4, -21):BRICK
(-10, 2, -22):BRICK
(-10, 3, -22):BRICK
(-10, 4, -22):BRICK
(-9, 2, -22):BRICK
(-9, 3, -22):BRICK
(-9, 4, -22):BRICK
(-8, 2, -22):BRICK
(-8, 3, -22):BRICK
(-8, 4, -22):BRICK
(-8, 2, -23):BRICK
(-10, 2, -23):BRICK
(-9, 2, -23):BRICK
(-10, 2, -24):BRICK
(-8, 2, -24):BRICK
(-9, 2, -24):BRICK
(-8, 2, -25):BRICK
(-9, 2, -25):BRICK
(-10, 2, -25):BRICK
(-10, 3, -26):BRICK
(-10, 4, -26):BRICK
(-9, 3, -26):BRICK
(-9, 4, -26):BRICK
(-8, 3, -26):BRICK
(-8, 4, -26):BRICK
(-11, 2, -26):BRICK
(-11, 3, -26):BRICK
(-7, 2, -26):BRICK
(-7, 3, -26):BRICK
(-7, 2, -22):BRICK
(-7, 3, -22):BRICK
(-7, 4, -22):BRICK
(-7, 2, -23):BRICK
(-7, 3, -23):BRICK
(-7, 4, -23):BRICK
(-7, 2, -24):BRICK
(-7, 3, -24):BRICK
(-7, 4, -24):BRICK
(-7, 2, -25):BRICK
(-7, 3, -25):BRICK
(-7, 4, -25):BRICK
(-8, 4, -10):BRICK
(-8, 5, -10):BRICK
(-9, 5, -10):BRICK
(-10, 5, -10):BRICK
(-10, 5, -11):BRICK
(-9, 5, -11):BRICK
(-8, 4, -11):BRICK
(-8, 5, -11):BRICK
(-9, 5, -12):BRICK
(-8, 4, -12):BRICK
(-8, 5, -12):BRICK
(-8, 4, -13):BRICK
(-8, 5, -13):BRICK
(-8, 4, -14):BRICK
(-8, 5, -14):BRICK
(-8, 4, -15):BRICK
(-8, 5, -15):BRICK
(-8, 4, -16):BRICK
(-8, 5, -16):BRICK
(-8, 4, -17):BRICK
(-8, 5, -17):BRICK
(-8, 4, -18):BRICK
(-8, 5, -18):BRICK
(-8, 4, -21):BRICK
(-8, 5, -21):BRICK
(-8, 4, -20):BRICK
(-8, 5, -20):BRICK
(-8, 4, -19):BRICK
(-8, 5, -19):BRICK
(-9, 5, -21):BRICK
(-9, 5, -20):BRICK
(-9, 5, -19):BRICK
(-9, 5, -18):BRICK
(-9, 5, -13):BRICK
(-9, 5, -14):BRICK
(-9, 5, -17):BRICK
(-9, 5, -16):BRICK
(-9, 5, -15):BRICK
(-10, 5, -12):BRICK
(-10, 5, -21):BRICK
(-10, 5, -20):BRICK
(-10, 5, -18):BRICK
(-10, 5, -19):BRICK
(-10, 5, -17):BRICK
(-10, 5, -15):BRICK
(-10, 5, -16):BRICK
(-10, 5, -14):BRICK
(-10, 5, -13):BRICK
(-11, 5, -21):BRICK
(-12, 5, -21):BRICK
(-13, 5, -21):BRICK
(-14, 5, -21):BRICK
(-15, 5, -21):BRICK
(-16, 5, -21):BRICK
(-17, 5, -21):BRICK
(-18, 5, -21):BRICK
(-18, 5, -20):BRICK
(-19, 5, -20):BRICK
(-19, 5, -19):BRICK
(-19, 5, -18):BRICK
(-19, 5, -17):BRICK
(-20, 5, -17):BRICK
(-20, 5, -16):BRICK
(-21, 5, -16):BRICK
(-22, 5, -16):BRICK
(-22, 5, -15):BRICK
(-22, 5, -14):BRICK
(-22, 5, -13):BRICK
(-22, 5, -12):BRICK
(-21, 5, -12):BRICK
(-21, 5, -14):BRICK
(-21, 5, -13):BRICK
(-21, 5, -15):BRICK
(-20, 5, -15):BRICK
(-20, 5, -14):BRICK
(-19, 5, -14):BRICK
(-19, 5, -16):BRICK
(-19, 5, -15):BRICK
(-19, 5, -13):BRICK
(-19, 5, -12):BRICK
(-19, 5, -11):BRICK
(-18, 5, -11):BRICK
(-18, 5, -10):BRICK
(-17, 5, -10):BRICK
(-16, 5, -10):BRICK
(-15, 5, -10):BRICK
(-14, 5, -10):BRICK
(-13, 5, -10):BRICK
(-12, 5, -10):BRICK
(-11, 5, -10):BRICK
(-11, 5, -11):BRICK
(-11, 5, -12):BRICK
(-11, 5, -13):BRICK
(-11, 5, -14):BRICK
(-11, 5, -20):BRICK
(-11, 5, -19):BRICK
(-11, 5, -18):BRICK
(-11, 5, -17):BRICK
(-11, 5, -16):BRICK
(-11, 5, -15):BRICK
(-12, 5, -15):BRICK
(-12, 5, -16):BRICK
(-12, 5, -17):BRICK
(-12, 5, -18):BRICK
(-12, 5, -20):BRICK
(-12, 5, -19):BRICK
(-13, 5, -20):BRICK
(-14, 5, -20):BRICK
(-16, 5, -20):BRICK
(-15, 5, -20):BRICK
(-17, 5, -20):BRICK
(-18, 5, -19):BRICK
(-17, 5, -19):BRICK
(-16, 5, -19):BRICK
(-15, 5, -19):BRICK
(-14, 5, -19):BRICK
(-13, 5, -19):BRICK
(-12, 5, -11):BRICK
(-12, 5, -12):BRICK
(-12, 5, -13):BRICK
(-12, 5, -14):BRICK
(-13, 5, -18):BRICK
(-14, 5, -18):BRICK
(-15, 5, -18):BRICK
(-16, 5, -18):BRICK
(-16, 5, -17):BRICK
(-15, 5, -17):BRICK
(-14, 5, -17):BRICK
(-13, 5, -17):BRICK
(-13, 5, -16):BRICK
(-13, 5, -15):BRICK
(-13, 5, -14):BRICK
(-13, 5, -13):BRICK
(-13, 5, -12):BRICK
(-13, 5, -11):BRICK
(-14, 5, -11):BRICK
(-15, 5, -11):BRICK
(-16, 5, -11):BRICK
(-17, 5, -11):BRICK
(-18, 5, -12):BRICK
(-17, 5, -12):BRICK
(-16, 5, -12):BRICK
(-15, 5, -12):BRICK
(-14, 5, -12):BRICK
(-18, 5, -13):BRICK
(-18, 5, -14):BRICK
(-18, 5, -15):BRICK
(-18, 5, -18):BRICK
(-17, 5, -18):BRICK
(-17, 5, -17):BRICK
(-18, 5, -17):BRICK
(-18, 5, -16):BRICK
(-17, 5, -13):BRICK
(-17, 5, -14):BRICK
(-17, 5, -15):BRICK
(-17, 5, -16):BRICK
(-16, 5, -16):BRICK
(-16, 5, -15):BRICK
(-16, 5, -14):BRICK
(-16, 5, -13):BRICK
(-15, 5, -13):BRICK
(-15, 5, -14):BRICK
(-15, 5, -15):BRICK
(-15, 5, -16):BRICK
(-14, 5, -16):BRICK
(-14, 5, -15):BRICK
(-14, 5, -14):BRICK
(-14, 5, -13):BRICK
(-7, 0, -19):BRICK
(-7, 1, -19):BRICK
(-7, 2, -19):BRICK
(-8, -1, -1):BRICK
(-8, 0, -1):BRICK
(-8, 1, -1):BRICK
(-9, -1, -1):BRICK
(-9, 0, -1):BRICK
(-9, 1, -1):BRICK
(-10, -1, -2):BRICK
(-10, 0, -2):BRICK
(-10, 1, -2):BRICK
(-7, -1, -1):BRICK
(-7, 0, -1):BRICK
(-7, 1, -1):BRICK
(-6, -1, -2):BRICK
(-6, 0, -2):BRICK
(-6, 1, -2):BRICK
(-9, 1, -2):BRICK
(-8, 1, -2):BRICK
(-7, 1, -2):BRICK
(11, -1, -6):BRICK
(11, 0, -6):BRICK
(11, 1, -6):BRICK
(12, -1, -6):BRICK
(12, 0, -6):BRICK
(12, 1, -6):BRICK
(12, -1, -5):BRICK
(12, 0, -5):BRICK
(12, 1, -5):BRICK
(12, -1, -3):BRICK
(12, 0, -3):BRICK
(12, 1, -3):BRICK
(12, -1, -4):BRICK
(12, 0, -4):BRICK
(12, 1, -4):BRICK
(11, -1, -3):BRICK
(11, 0, -3):BRICK
(11, 1, -3):BRICK
(11, 1, -4):BRICK
(11, 1, -5):BRICK
(16, -1, -15):BRICK
(16, 0, -15):BRICK
(16, 1, -15):BRICK
(16, -1, -14):BRICK
(16, 0, -14):BRICK
(16, 1, -14):BRICK
(6, -1, -36):BRICK
(6, 0, -36):BRICK
(6, 1, -36):BRICK
(7, -1, -36):BRICK
(7, 0, -36):BRICK
(7, 1, -36):BRICK
(8, -1, -36):BRICK
(8, 0, -36):BRICK
(8, 1, -36):BRICK
(9, -1, -35):BRICK
(9, 0, -35):BRICK
(9, 1, -35):BRICK
(8, 1, -35):BRICK
(8, 1, -34):BRICK
(7, 1, -35):BRICK
(9, -1, -34):BRICK
(9, 0, -34):BRICK
(9, 1, -34):BRICK
(-10, -1, -33):BRICK
(-10, 0, -33):BRICK
(-10, 1, -33):BRICK
(-10, -1, -34):BRICK
(-10, 0, -34):BRICK
(-10, 1, -34):BRICK
(-10, -1, -35):BRICK
(-10, 0, -35):BRICK
(-10, 1, -35):BRICK
(-10, -1, -37):BRICK
(-10, 0, -37):BRICK
(-10, 1, -37):BRICK
(-9, -1, -37):BRICK
(-9, 0, -37):BRICK
(-9, 1, -37):BRICK
(-8, -1, -36):BRICK
(-8, 0, -36):BRICK
(-8, 1, -36):BRICK
(-8, -1, -35):BRICK
(-8, 0, -35):BRICK
(-8, 1, -35):BRICK
(-11, -1, -35):BRICK
(-11, 0, -35):BRICK
(-11, 1, -35):BRICK
(-12, -1, -36):BRICK
(-12, 0, -36):BRICK
(-12, 1, -36):BRICK
(-11, -1, -37):BRICK
(-11, 0, -37):BRICK
(-11, 1, -37):BRICK
(-11, 1, -36):BRICK
(-10, 1, -36):BRICK
(-9, 1, -36):BRICK
(-9, 1, -35):BRICK
(-9, 1, -34):BRICK
